Snomed_CT,Full Name
270492004,1st degree av block
164889003,atrial fibrillation
164890007,atrial flutter
426627000,bradycardia
713427006,complete right bundle branch block
713426002,incomplete right bundle branch block
445118002,left anterior fascicular block
39732003,left axis deviation
164909002,left bundle branch block
251146004,low qrs voltages
698252002,nonspecific intraventricular conduction disorder
10370003,pacing rhythm
284470004,premature atrial contraction
427172004,premature ventricular contractions
164947007,prolonged pr interval
111975006,prolonged qt interval
164917005,qwave abnormal
47665007,right axis deviation
59118001,right bundle branch block
427393009,sinus arrhythmia
426177001,sinus bradycardia
426783006,sinus rhythm
427084000,sinus tachycardia
63593006,supraventricular premature beats
164934002,t wave abnormal
59931005,t wave inversion
17338001,ventricular premature beats
